Name,URL,Price,Rating
"2018 Dell Inspiron 15 5000 Flagship Premium 15.6"" Full HD Touchscreen Backlit Keyboard Laptop, Intel Core i5-8250U Quad-Core, 12GB DDR4, 1TB HDD, DVD-RW, Bluetooth 4.2, Windows 10, Black",/Dell-Inspiron-5000-Touchscreen-Quad-Core/dp/B07DNVVRPV/ref=sr_1_3?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-3,"588
.",3.9 out of 5 stars
Dell Inspiron 15.6” Touch Screen Intel Core i3 128GB Solid State Drive Laptop,/Dell-Inspiron-Touch-Screen-Laptop/dp/B07KVFTVHX/ref=sr_1_4?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-4,"378
.",4.0 out of 5 stars
"2019_Dell Inspiron 15.6"" HD High Performance Laptop, Intel Celeron Processor,4GB DDR4 RAM, 500GB Hard Drive, Wireless+Bluetooth,HDMI,DVD R/W, Windows 10",/2019_Dell-Inspiron-Performance-Processor-Bluetooth/dp/B07NXTKWMX/ref=sr_1_5?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-5,"326
.",
"Dell Inspiron 15-5570 15.6in FHD Touchscreen Laptop PC - Intel Core i3-8130U 2.2GHz, 12GB, 1TB HDD, DVDRW, Webcam, Bluetooth, Intel UHD 620 Graphics, Windows 10 Home (Renewed)",/Dell-Inspiron-15-5570-Touchscreen-Laptop/dp/B07GBD8BHF/ref=sr_1_6?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-6,"374
.",
"Dell Inspiron 15 Intel Core i3-7130U 8GB 1TB HDD 15.6"" HD LED Windows 10 Laptop",/Dell-Inspiron-i3-7130U-Windows-Laptop/dp/B07GKZJ8CX/ref=sr_1_7?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-7,,3.8 out of 5 stars
"2019 Premium Flagship Dell Inspiron 15 5000 15.6 Inch FHD Touchscreen Laptop (AMD Ryzen 5 2500U up to 3.6GHz (>i7-7500U), 8GB RAM, 1TB HDD, AMD Radeo Vega 8, Backlit Keyboard, WiFi, Windows 10)",/Flagship-Dell-Inspiron-Touchscreen-i7-7500U/dp/B07SWW9QYB/ref=sr_1_8?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-8,"525
.",
"2018 Dell Inspiron 15 5000 15.6 inch Full HD Touchscreen Backlit Keyboard Laptop PC, Intel Core i5-8250U Quad-Core, 8GB DDR4, 1TB HDD, Bluetooth 4.2, WiFi, Windows 10 dell i5570-4364slv-pus",/Dell-Inspiron-Keyboard-Quad-Core-Bluetooth/dp/B077T46GLP/ref=sr_1_9?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-9,"517
.",
"Dell Inspiron 14 5485 i5485-A186SLV-PUS Laptop (Windows 10 Home, AMD Ryzen(Tm) 3 3200U, 14"" LED Screen, Storage: 128 GB, RAM: 4 GB) Silver",/Dell-Inspiron-i5485-A186SLV-PUS-Windows-Storage/dp/B07QB4W11Z/ref=sr_1_10?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-10,"479
.",4.1 out of 5 stars
"2019 Dell Inspiron 15 5000 5570 Intel Core i7-8550U 12 GB DDR4 1TB HDD 15.6"" Full HD Touchscreen LED Silver Laptop",/Dell-Inspiron-i7-8550U-Touchscreen-Silver/dp/B07ML5ZVZY/ref=sr_1_13?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-13,"694
.",
Dell Inspiron 15.6 inch HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 8GB RAM | 256GB SSD | Bluetooth | WIFI | Windows 10 (Black),/Dell-Inspiron-Touchscreen-Performance-Bluetooth/dp/B079ZJLMJN/ref=sr_1_14?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-14,,3.8 out of 5 stars
"Newest Dell Inspiron 15 5000 Flagship Premium 15.6"" Full HD Touchscreen Backlit Keyboard Laptop, Intel Core i5-8250U Quad-Core, 12GB DDR4, 1TB HDD, DVD-RW, Bluetooth 4.2, Windows 10, Blue",/Dell-Inspiron-5000-Touchscreen-Quad-Core/dp/B07DMMJ78X/ref=sr_1_15?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-15,"597
.",
"Dell Latitude E7440 14.1in HD Business Laptop Computer, Intel Core i5-4200U up to 2.6GHz, 8GB RAM, 128GB SSD, USB 3.0, Bluetooth 4.0, HDMI, WiFi, Windows 10 Professional (Renewed)",/Dell-Latitude-E7440-Bluetooth-Professional/dp/B075Q5FFSX/ref=sr_1_16?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-16,"244
.",
"Dell M4800 15.6in FHD Ultrapowerful Mobile Workstation Business Laptop Computer, Intel Core i7-4900MQ 3.8Ghz, 16GB RAM, 500GB HDD, WiFi AC, NVIDIA Quadro K2100M, Windows 10 Pro (Renewed)",/Dell-M4800-Ultrapowerful-Workstation-Refurbished/dp/B07HKBDFQX/ref=sr_1_17?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-17,"459
.",
"2018 Newest Premium Dell Inspiron 15.6-inch HD Display Laptop PC, 7th Gen AMD A6-9220 2.5GHz Processor, 4GB DDR4, 500GB HDD, WiFi, HDMI, Webcam, MaxxAudio, Bluetooth, DVD-RW, Windows 10-Black",/Dell-Inspiron-15-6-inch-Processor-MaxxAudio/dp/B07BVZRVPF/ref=sr_1_18?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-18,"276
.",
"Dell - Inspiron 15.6"" Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Black",/Dell-Inspiron-Laptop-Intel-Memory/dp/B078YD9V3X/ref=sr_1_19?keywords=dell+laptop&qid=1564682823&s=gateway&sr=8-19,"375
.",
